biali	3	3	0.0045253	0.000565
biffy	5	4	0.0356019	0.0379458
bight	4	4	0.0311546	0.0431428
bigly	4	4	0.0317221	0.0048778
bilbo	4	4	0.032112	0.0149748
bindi	3	4	0.0047722	0.0381302
binge	3	4	0.0193931	0.0161006
binit	4	4	0.0323927	0.0345741
biota	4	4	0.0224013	0.0206675
birch	3	4	0.0050474	0.0115047
birls	3	3	0.006434	0.0008693
birse	3	3	0.0077893	0.0061158
blabs	5	4	0.0377139	0.0024232
blaff	4	4	0.0407278	0.0028057
blahs	5	4	0.0391194	0.0030908
blare	4	2	0.0244029	0.0002777
blawn	4	3	0.0372755	0.0022199
blaze	4	3	0.0250611	0.0007991
blear	3	3	0.0034009	0.0015842
blend	3	3	0.0290838	0.0075681
blent	3	3	0.0318423	0.010934
blest	3	3	0.0265738	0.0026853
blimy	4	4	0.0286337	0.0089009
blips	4	4	0.0228642	0.0067273
blite	4	4	0.0201442	0.008024
blitz	4	4	0.0327257	0.0112642
blobs	4	4	0.0396089	0.004164
blood	4	4	0.0399996	0.0097532
blues	4	3	0.0298879	0.0022227
bluet	4	4	0.0348478	0.0086023
bluff	4	4	0.0426611	0.008533
blurs	4	3	0.0167786	0.0005101
boars	4	4	0.0142764	0.0023439
boast	4	4	0.031268	0.0042991
bodes	4	4	0.0302075	0.0139494
boggy	4	5	0.0374185	0.0288971
bolas	4	3	0.0129116	0.0020205
boles	5	3	0.0342648	0.0029586
bolls	5	4	0.0494985	0.0031012
boner	4	4	0.020083	0.0157216
bongs	5	4	0.0451952	0.0212591
booed	4	4	0.0387628	0.0169586
boogy	3	5	0.0373402	0.0285709
boomy	4	4	0.0407522	0.029777
booze	4	4	0.0357162	0.0153024
boral	3	3	0.0068904	0.0050486
borer	4	4	0.009617	0.0143478
boric	3	4	0.0050722	0.0129246
botel	4	4	0.033961	0.00846
bothy	4	4	0.0418388	0.0268497
bowls	5	4	0.0453957	0.0035367
bowse	4	4	0.0336635	0.0089528
boxed	5	5	0.0392559	0.0168034
boyar	4	4	0.0099139	0.0087653
bozos	5	5	0.0466944	0.0230182
brake	3	4	0.0256345	0.0010564
brash	4	3	0.0150128	0.0008858
brava	4	4	0.0200229	0.0026458
brave	3	4	0.0251615	0.0017484
brawn	4	4	0.0186935	0.0024786
brays	4	4	0.0134389	0.0030065
bread	3	3	0.0035379	0.0052773
breve	4	4	0.0212697	0.0163425
brigs	3	4	0.0071793	0.0139035
brill	4	3	0.0151775	0.0014983
bring	4	4	0.0138294	0.0112379
brink	4	4	0.0135934	0.0103796
britt	3	4	0.0102635	0.0098172
broil	4	3	0.0136873	0.0020733
bruin	3	3	0.0103018	0.0096955
bubus	5	3	0.0491686	0.0226026
buffi	3	4	0.0050706	0.030403
buggy	4	4	0.0426761	0.0288572
buhls	3	3	0.0361246	0.004484
buhrs	4	4	0.0174801	0.0114754
build	4	4	0.0330547	0.003134
bulge	4	4	0.0337216	0.0084488
bully	5	4	0.04514	0.0030278
bumph	4	4	0.0389829	0.028258
bumpy	3	4	0.0372494	0.0287288
bunya	4	4	0.0360607	0.0176839
buran	3	4	0.0063966	0.0086383
burgh	4	3	0.0106667	0.0105405
burke	3	4	0.0057199	0.0141159
burls	4	3	0.0138991	0.0006114
burse	3	4	0.005715	0.0035409
bused	4	4	0.0285499	0.0115677
bushy	3	4	0.0385014	0.0095535
busks	4	4	0.0409995	0.0243516
busty	4	4	0.0395614	0.009473
butch	4	4	0.0415299	0.0289681
bytes	5	4	0.0333176	0.0129947
cacas	4	4	0.0122495	0.010982
cacti	3	3	0.0043185	0.0295704
caeca	4	4	0.0286743	0.0154149
cager	4	4	0.0284658	0.0084036
cages	5	5	0.0366643	0.0054642
caird	4	3	0.0124784	0.0093856
calix	4	3	0.017797	0.0074698
caned	4	4	0.0255844	0.0095735
caner	4	4	0.0249016	0.0049461
canid	3	3	0.0160673	0.02542
canoe	4	3	0.0253663	0.0093728
canso	3	3	0.0301949	0.0051246
caped	5	5	0.031832	0.0107704
caper	4	4	0.0239629	0.0064859
capes	4	4	0.027251	0.0084239
capos	3	4	0.0299176	0.0171366
carbo	3	4	0.0090066	0.0083081
cared	3	3	0.0051998	0.0068143
carle	3	3	0.0052384	0.0005233
carom	4	4	0.0128909	0.0125512
carry	3	2	0.0094698	0.0136144
cater	3	3	0.0217053	0.0042837
cauls	2	3	0.0304141	0.0020587
cause	4	4	0.0279442	0.0026805
caver	4	4	0.024525	0.0072007
ceded	4	3	0.0230096	0.0111042
ceder	4	4	0.0131285	0.005465
cedis	4	4	0.0104043	0.0136876
ceili	3	3	0.0038268	0.0014361
cense	4	4	0.0264128	0.0045864
cento	4	3	0.0240447	0.0087319
ceorl	4	3	0.0134556	0.0005425
cered	3	3	0.0070758	0.003414
chais	3	4	0.0125452	0.0050162
chape	4	3	0.0268803	0.0008829
chapt	4	3	0.0390997	0.0020051
charr	4	4	0.0198477	0.0028182
chart	4	3	0.0189479	0.0032057
cheek	4	4	0.0333429	0.0162456
cheep	4	4	0.0324943	0.0164553
cheer	4	4	0.0184886	0.0124761
chemo	4	4	0.0349291	0.0155383
chess	4	4	0.0306516	0.0168938
chest	4	4	0.0304522	0.0097337
chevy	4	4	0.0337722	0.0204049
chide	4	4	0.0214902	0.0152314
chile	4	3	0.0205956	0.0017397
chirm	4	4	0.0138409	0.0105518
chirp	4	4	0.0134961	0.0126295
